,imgname,psnr,ssim,uiqm,uciqe
36,nachsholim_RGT_3272-patch_fake,inf,1.0,0.6328819002367703,28.859843999354037
37,nachsholim_RGT_3000-patch_fake,inf,1.0,0.7137517009831852,24.463000123321713
38,michmoret_LFT_5429-patch_fake,inf,1.0,0.45851077796630824,27.173756944072263
39,michmoret_LFT_5435-patch_fake,inf,1.0,0.46498594615492916,27.966600842631337
40,katzaa_LFT_4028-patch_fake,inf,1.0,0.6587760792796958,25.208075904448
41,satil_LFT_3921-patch_fake,inf,1.0,0.4539361347054952,24.612533909227555
42,michmoret_RGT_5463-patch_fake,inf,1.0,0.4822328810355193,29.8067702870978
43,katzaa_LFT_4020-patch_fake,inf,1.0,0.4038242418415845,27.62386185255
44,nachsholim_LFT_2990-patch_fake,inf,1.0,0.7201147486676392,24.39255568932954
45,michmoret_LFT_5458-patch_fake,inf,1.0,0.6982824486329865,29.57289052543704
46,nachsholim_RGT_3276-patch_fake,inf,1.0,0.6657047715018065,28.35079281150828
47,satil_LFT_3923-patch_fake,inf,1.0,0.48863036121257175,25.300319892906426
48,nachsholim_LFT_2983-patch_fake,inf,1.0,0.7309682585909719,27.03242442980425
49,michmoret_LFT_5451-patch_fake,inf,1.0,0.4296074843680858,29.257245814530464
50,michmoret_RGT_5477-patch_fake,inf,1.0,0.36551134328019486,29.172270729320886
51,satil_LFT_3890-patch_fake,inf,1.0,0.45621505671418094,23.377276278931472
52,katzaa_RGT_4491-patch_fake,inf,1.0,0.6607830332205008,24.285725063333857
53,katzaa_RGT_4493-patch_fake,inf,1.0,0.8186459671827119,31.35954156979781
54,michmoret_RGT_5473-patch_fake,inf,1.0,0.378187092126105,29.476240872407445
55,michmoret_RGT_5444-patch_fake,inf,1.0,0.4768172899318619,26.65691026513725
56,nachsholim_RGT_2993-patch_fake,inf,1.0,0.6845118233673476,27.2036155605665
57,satil_LFT_3915-patch_fake,inf,1.0,0.4911065210251382,23.921653953409635
58,nachsholim_LFT_2998-patch_fake,inf,1.0,0.7083268706451973,24.004431756041967
59,michmoret_LFT_5443-patch_fake,inf,1.0,0.6079469969833663,30.77399933585153
60,satil_RGT_4376-patch_fake,inf,1.0,0.47840676849318065,24.824250805421496
61,nachsholim_RGT_3008-patch_fake,inf,1.0,0.7134968710244294,24.761966246187885
62,michmoret_LFT_5424-patch_fake,inf,1.0,0.48609253433040867,27.921303994197707
63,nachsholim_RGT_3030-patch_fake,inf,1.0,0.5424984934192257,28.308242860183533
64,satil_LFT_3857-patch_fake,inf,1.0,0.5195659249159638,23.46881961718544
65,katzaa_LFT_4025-patch_fake,inf,1.0,0.4879508083964591,26.96143629810524
66,katzaa_LFT_4021-patch_fake,inf,1.0,0.3966591958820396,25.21032364286803
67,katzaa_LFT_4027-patch_fake,inf,1.0,0.7567937506213714,26.181660204020247
68,michmoret_RGT_5462-patch_fake,inf,1.0,0.41883042008641136,30.53375291410631
69,nachsholim_LFT_3260-patch_fake,inf,1.0,0.7252295870243177,28.421948894957612
70,satil_RGT_4382-patch_fake,inf,1.0,0.4421757383733669,24.922059285156642
71,satil_LFT_3927-patch_fake,inf,1.0,0.43944889264984355,23.823606025635495
72,satil_RGT_4388-patch_fake,inf,1.0,0.4279620214974199,23.90752608873851
73,katzaa_RGT_4480-patch_fake,inf,1.0,0.304892372499605,26.911881643380113
74,nachsholim_LFT_3262-patch_fake,inf,1.0,0.6478175479692829,29.006520987837458
75,nachsholim_LFT_3020-patch_fake,inf,1.0,0.5931698236626464,25.59293818245651
76,michmoret_LFT_5460-patch_fake,inf,1.0,0.6808494730026227,27.662826320339907
